times, le, le_qc, le_unc, h, h_qc, h_unc, g, g_qc, sm1, sm1_qc, nee, nee_qc, gpp, gpp_se
2.010011500000000000e+07,1.497749999999999915e+00,1.000000000000000000e+00,8.754140000000000255e-01,4.919990000000000308e+00,9.166670000000000096e-01,2.332289999999999974e+00,-3.029170000000000140e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,7.141180000000000305e-01,2.500000000000000000e-01,0.000000000000000000e+00,5.980410000000000240e-03
2.010011600000000000e+07,5.130650000000000155e+00,8.750000000000000000e-01,1.065909999999999913e+00,-3.044369999999999798e+00,8.333329999999999904e-01,2.163879999999999804e+00,-2.850000000000000089e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,7.456800000000000095e-01,5.416670000000000096e-01,0.000000000000000000e+00,1.354230000000000017e-02
2.010011700000000000e+07,1.318309999999999960e+01,1.000000000000000000e+00,1.809180000000000010e+00,-2.770430000000000170e+00,9.583329999999999904e-01,1.920069999999999943e+00,-2.070829999999999949e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,7.677220000000000155e-01,9.583329999999999904e-01,1.007569999999999993e-02,1.456769999999999940e-02
2.010011800000000000e+07,1.004240000000000066e+01,9.583329999999999904e-01,2.132359999999999811e+00,4.242940000000000045e-01,9.583329999999999904e-01,2.475699999999999790e+00,-2.629169999999999785e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,8.563960000000000461e-01,9.583329999999999904e-01,2.830610000000000070e-02,1.019779999999999992e-02
2.010011900000000000e+07,1.847680000000000078e+01,9.583329999999999904e-01,1.889129999999999976e+00,-6.148649999999999949e+00,1.000000000000000000e+00,2.236959999999999837e+00,-2.412500000000000089e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,8.655549999999999633e-01,1.000000000000000000e+00,3.716880000000000184e-02,5.740730000000000312e-03
2.010012000000000000e+07,1.079310000000000080e+01,8.750000000000000000e-01,1.442679999999999962e+00,-3.077409999999999979e+00,8.750000000000000000e-01,2.081669999999999909e+00,-2.179170000000000051e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,9.432829999999999826e-01,8.750000000000000000e-01,4.706889999999999685e-02,2.890590000000000173e-03
2.010012100000000000e+07,8.091789999999999594e+00,1.000000000000000000e+00,1.342619999999999925e+00,-2.526660000000000128e+00,1.000000000000000000e+00,2.146310000000000162e+00,-2.395830000000000126e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,8.713659999999999739e-01,1.000000000000000000e+00,6.727089999999999459e-02,2.522860000000000033e-03
2.010012200000000000e+07,1.240789999999999971e+01,9.166670000000000096e-01,1.700530000000000097e+00,-1.565390000000000015e+01,1.000000000000000000e+00,2.230339999999999989e+00,-2.266669999999999963e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,8.733819999999999917e-01,1.000000000000000000e+00,6.965150000000000508e-02,2.371550000000000047e-03
2.010012300000000000e+07,-6.130639999999999645e+00,1.000000000000000000e+00,1.565250000000000030e+00,-3.908330000000000126e+01,1.000000000000000000e+00,3.109420000000000073e+00,-2.633329999999999949e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,1.076869999999999994e+00,9.583329999999999904e-01,4.515450000000000019e-02,1.747250000000000105e-03
2.010012400000000000e+07,3.940100000000000335e+01,1.000000000000000000e+00,2.713719999999999910e+00,-1.028190000000000026e+01,1.000000000000000000e+00,1.917899999999999938e+00,-2.191669999999999785e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,9.979069999999999885e-01,1.000000000000000000e+00,3.268150000000000222e-02,1.418680000000000071e-03
